JD		    Phase		U		UErr	B		BErr   V		 VErr     R		    RErr	  I		    IErr
680.06    -5.22    INDEF     INDEF   16.126    0.014  16.167    0.018    16.023     0.014    16.060     0.032    
681.04    -4.25    15.482    0.046   16.066    0.012  16.047    0.011    15.934     0.021    15.979     0.016    
682.03    -3.27    INDEF     INDEF   16.004    0.046  16.007    0.027    15.862     0.016    15.866     0.039    
683.06    -2.25    15.515    0.060   15.966    0.018  15.900    0.018    15.784     0.013    15.798     0.024    
688.04     2.66    15.741    0.119   16.022    0.069  15.739    0.050    15.631     0.034    15.577     0.051    
690.13     4.73    15.956    0.066   16.208    0.027  15.710    0.024    15.564     0.017    15.523     0.016    
691.20     5.79    16.030    0.058   16.260    0.021  15.763    0.023    15.563     0.016    15.416     0.018    
692.14     6.72    16.222    0.062   16.413    0.020  15.779    0.020    15.568     0.019    15.466     0.027    
694.13     8.69    16.572    0.116   16.671    0.021  15.840    0.013    15.553     0.011    15.427     0.025    
697.06    11.58    17.212    0.037   17.132    0.012  16.019    0.008    15.649     0.015    15.466     0.015    
706.06    20.48    18.620    0.021   18.260    0.021  16.704    0.009    16.126     0.015    15.796     0.019    
710.03    24.40    INDEF     INDEF   18.494    0.011  16.925    0.011    16.364     0.013    15.970     0.019    
713.02    27.36    INDEF     INDEF   18.600    0.019  17.076    0.010    16.501     0.017    16.106     0.009    
717.03    31.32    INDEF     INDEF   18.758    0.033  17.237    0.024    16.646     0.025    16.251     0.018    
722.06    36.29    INDEF     INDEF   18.832    0.016  17.362    0.012    16.826     0.013    INDEF      INDEF                     
728.13    42.29    INDEF     INDEF   18.846    0.096  17.607    0.051    17.053     0.041    16.593     0.044    
730.79    44.92    INDEF     INDEF   18.859    0.010  INDEF     INDEF    17.150     0.017    INDEF      INDEF     
731.14    45.27    INDEF     INDEF   18.944    0.024  17.605    0.010    17.101     0.009    16.698     0.023    
733.07    47.17    INDEF     INDEF   19.017    0.014  17.618    0.013    17.158     0.008    16.749     0.008    
748.06    61.99    INDEF     INDEF   19.204    0.031  17.920    0.014    17.501     0.011    17.142     0.027    
750.05    63.96    INDEF     INDEF   19.325    0.045  18.038    0.035    17.548     0.027    17.203     0.015    
917.04   230.03    INDEF     INDEF   21.578    0.033  INDEF     INDEF    20.140     0.022    INDEF      INDEF               
921.40   233.31    INDEF     INDEF   INDEF     INDEF  20.940    0.044    INDEF      INDEF    INDEF      INDEF                                
935.40   247.14    INDEF     INDEF   INDEF     INDEF  INDEF     INDEF    20.474     0.036    INDEF      INDEF                  
999.39   310.38    INDEF     INDEF   INDEF     INDEF  22.733    0.168    21.633     0.099    INDEF      INDEF                  
1066.73   376.98    INDEF     INDEF   24.206    0.124  INDEF     INDEF    21.776     0.036    INDEF      INDEF                                                                                                                                                                                                                                                                                                                                                                                                              
